NOMBREADJUDICADO,total_pagado,num_contratos,pago_promedio,num_regiones,num_servicios,años_activo,CLUSTER
  CONSTRUCTORA CRUZAT S.A.,1323206335,3,77835666.76470588,1,1,3,0
  IN3 PROYECTOS E INGENIERIA LTDA.,368136138,2,40904015.333333336,1,1,4,0
 COMERCIAL Y CONTRUCCIÓN LUCRECIA LIMITADA,579392746,3,57939274.6,2,4,2,0
 UNIVERSIDAD DE CHILE,564306709,6,51300609.90909091,4,3,3,0
(SUSPENDIDO) CONSTRUCTORA EL SAUCE S. A.,4690206,1,4690206.0,1,1,1,0
A P S A   LTDA.,13151502,1,6575751.0,1,1,2,0
ACCIONA INFRAESTRUCTURAS S.A. AGENCIA EN CHILE,886992844,2,177398568.8,1,1,2,0
"ACHERNAR INGENIERIA, PROYECTOS Y CONST.LTDA",480481567,1,160160522.33333334,1,1,1,0
ADIHER OMAR AHUMADA ARIAS,12933092833,7,102643593.91269842,3,1,7,0
AEDO ARRIENDO DE MAQUINARIAS LIMITADA,27370000,1,13685000.0,1,1,1,0
AEROTOP S.A.,604960000,2,75620000.0,2,2,3,0
AGENCIA ECISA CHILE CIA. GRAL. DE CONSTRUCC. S.A.,14174399361,1,644290880.0454545,1,1,3,0
AGRICOLA FORESTAL SERGIO F. MAS CASANOVA E.I.R.L.,270884253,9,16930265.8125,1,2,4,0
AGRICOLA Y COMERCIAL PIRINEOS LTDA.,4669322673,7,81917941.63157895,3,3,4,0
AGROSERVICIOS COPIAPO LTDA.,75541200,1,75541200.0,1,1,1,0
AGRUPACION MEDIO AMBIENTAL TORRES DEL PAYNE (AMA),40000000,1,5714285.714285715,1,1,3,0
AGS INGENIEROS SPA,2395573786,2,299446723.25,2,2,2,0
AGUAS ANDINAS S.A.,107960311,3,21592062.2,1,4,4,0
AGUAS ARAUCANIA S.A.,762237539,2,20058882.60526316,1,1,4,0
AGUAS CONSULTORES S.P.A.,3696989546,30,52814136.37142857,9,2,8,3
AGUAS DEL ALTIPLANO S.A.,424330425,9,18449148.913043477,2,2,5,0
AGUAS DEL VALLE S.A.,6389018,1,6389018.0,1,1,1,0
AGUAS E INGENIERIA LTDA.,298884032,10,11495539.692307692,1,2,2,0
AGUAS INDUSTRIALES LIMITADA,2138413474,18,29293335.260273974,5,1,4,0
AGUAS NUEVAS S.A.,522489760,20,26124488.0,1,1,1,0
AGUASIN SPA,70813128,2,35406564.0,2,1,1,0
AHUMADA VARAS JOSE JULIO,617045212,7,23732508.153846152,1,1,2,0
AKERANA INGENIERIA Y CONSTRUCCION LTDA.,13874549,1,13874549.0,1,1,1,0
ALBATROS CONSULTORES LIMITADA,137036373,9,9788312.357142856,1,2,4,0
ALBATROS LTDA.,39010015,5,4876251.875,1,2,3,0
ALBERTO TEDIAS ARAYA,428558493,2,30611320.92857143,1,1,2,0
ALCORP S.A.,1943812685,1,129587512.33333333,1,1,4,0
ALDO MILANESE RUBILAR,473970503,8,29623156.4375,2,1,2,0
ALEJANDRA I. PAREDES TAMAYO,2324382243,11,44699658.51923077,2,4,7,3
ALEJANDRO DE PRADA BLAS,731850,1,365925.0,1,1,1,0
ALEJANDRO PATRICIO PAILLAN PAILLAN,89765429,1,22441357.25,1,1,1,0
ALFONSO CAMPUSANO OSORES,44954400,1,22477200.0,1,1,1,0
